ROOM,1,2,3,4,5,6,7,8,9,10
A002,,,,,,,,,,
A009,,,,,,,,PHA G613,PHA G613,
A019,CS F372,,,,,,,,,
A022,,,,,,,PHA G632,PHA G632,PHA G632,PHA G632
A025,,,,,,,,,,
A121,,BIO G524,BIO G524,,,,,,,
A122,,BIO F110,BIO F110,,,,BIO F110,BIO F110,,
A123,,,,,,,,,,
A124,,,,,,,,BIO G512,BIO G512,
A210,,,,,,PHY F214,PHY F214,,,
A211,,,,,,,,,,
A222,,PHY F110,PHY F110,,,,,,,
A223,,,,,,,PHY F110,PHY F110,,
B108,,,,,,,,,,
B124,,CHEM F110,CHEM F110,,,,CHEM F110,CHEM F110,,
B212,,,,,,PHA F211,PHA F211,,,
D110,,,,,,,,,,
D123,,,,,,,,CE G551,CE G551,
D127,,,,,,CE F230,CE F230,,,
D208 A,,BITS F110,BITS F110,,,,BITS F110,BITS F110,,
D208 B,,CHE F418,BITS F234,BITS F234,,,ME G511,ME G511,ME G511,
D208 C,,,,,,,,CE G620,CE G620,
D224,,,,,,,,CE G565,CE G565,
D311,,CS F111,CS F111,,,,CS F111,CS F111,,
D312,,,,,CS F372,,,,,
D313,,,,CS F342,CS F342,CS F213,CS F213,,,
D331,,,,,,,,,,
D331A,,,,,,,,,,
E002,,,,,ME G641,ME G641,,,,
E122,,,,,,ME F217,ME F217,,,
F101,,,,,BITS F431,CS G553,,CS F441,MEL G626,CS G519
F102,BIO F111,CS F222,INSTR F215,BITS F225,CHEM F111,,CS F342,CS F214,PHY F111,MATH F211
F103,PHY F111,ME F212,ME F211,MATH F211,MATH F111,,ME F314,ME F216,EEE F111,MATH F211
F104,BITS F111,INSTR F211,,MATH F211,MATH F111,,INSTR F313,INSTR F214,CS F111,ECON F211
F105,MATH F111,INSTR F211,INSTR F215,MATH F211,BIO F111,,,INSTR F214,CS F111,MGTS F211
F106,,BITS F464,CS F407,,MATH F111,,,BITS F452,IS F311,ECON F211
F107,MATH F111,CS F429,ITEB G621,,,,,CS F425,,ECON F211
F108,MATH F111,,EEE G512,,,,,,,
F109,CE F312,CE F211,CE F231,CE G562,CE F313,,,CE F230,,
F201,,CE F428,CE F323,CE G552,CE G617,,,CE F417,CE F431,
F202,,,CE G568,CE G534,CE G565,,,,,
F203,,,CE G545,CE G538,,,,,,
F204,,,CHE G558,,,,CHE G523,CHE F421,,
F205,CHE F314,CHE F213,DE G611,CHE F311,CHE F313,,,CHE F211,,
F207,ECON F211,,ECON F214,,,,,ECON F211,,
F208,MGTS F211,ECON F355,BITS F314,MATH F211,,,,FIN F313,,MATH F211
G101,ECON F211,CHEM F212,CHEM F213,CHEM F312,,,,CHEM F211,CHEM F313,
G102,ECON F211,BIO F213,BIO F211,BIO F313,BIO G524,,,BIO F212,BIO F311,
G103,ME F315,CHEM F325,CHEM F326,,,,,,,
G104,ME F315,BIO F441,BIO F352,BIO G651,,,,BITS F418,,
G105,ME F315,BIO G514,,BIO G561,BIO G526,,,FIN F313,,
G106,PHA F315,PHA F211,PHA F217,PHA G619,,,,,PHA F244,
G107,ME F315,,PHA G632,PHA G613,PHA G626,,,,PHA F415,
G108,,MATH F214,MATH F213,MATH F311,,,,MATH F215,MATH F313,
G201,,,PHY F211,PHY F313,PHA G542,,,PHY F213,PHY F312,
G202,,PHY F420,PHY F317,,,,,PHY F346,,
G203,,AN F313,PHA G538,,,,,,,
G204,ME G641,ME F425,PHA G545,PHA G537,,,,,,
G205,,PHA G543,ME F418,,,,,AN F311,ME F428,
G206,,,ME G512,ME G513,,,,,,
G207,ECON F211,,CHE F212,,,,,,INSTR F312,
G208,,DE G631,ME F424,ECON F312,,,,,ECON F313,
H106,,,,EEE F311,EEE F311,,,,,
I011,,,,EEE F434,EEE F434,,,,,
I012,,,,,,INSTR F215,INSTR F215,,,
I013,,,,,,INSTR F215,INSTR F215,,,
I014,,,,,,,,CS G525,CS G525,
I015,,,,BITS F232,BITS F232,,,,,
I111,CS F213,EEE F422,BITS F364,CS G526,CS F342,,,,CS F433,
I112,CS F351,MATH F231,CS G527,EEE F111,CS F342,,,MATH F432,,
I113,CS F351,,MATH F420,,CS G623,,,MATH F456,,
I114,EEE F311,,,BITS G553,,,,,,
I115,,,,,,,,,,
I122,EEE F311,,,MEL G611,,,,,,
I124,,,,INSTR F216,INSTR F216,,MEL G621,MEL G621,,
I210,ECE F314,,,,,,,,,BITS F218
I211,INSTR F313,,,,EEE G510,,,,,
I212,,,,,,,,,,
I213,,,,,,,,,,
I214,,,,,,,,,,
I221,EEE F434,EEE G613,,,,,,,,
I222,,,,EEE G612,,,,,,
J105,,,,EEE F411,EEE F411,EEE F411,EEE F411,,,
J106,,,,,,,,EEE G591,EEE G591,
J107,BITS F113,HSS F249,,,,,,,BITS F214,
J115,,,,,,,HSS F251,,HSS F235,
J119,,,GS F322,,,,HSS F337,,GS F233,
J120,,,,,,,GS F245,,HSS F318,
J121,,,EEE G626,EEE G513,,,HSS F365,,HSS F338,
J204,,,,,,BITS F415,BITS F415,,,
J206,,,EEE G591,,,,,,HSS F331,
J214,,HSS F378,HSS F325,,,,,,HSS F349,
J217,,,ECON F434,,,,,MGTS F316,ECON F345,
J218,,,FIN F414,,,,,,,
J219,,,,,,,,,,
J220,,BITS F415,,,,,,,,
K125,,,,,,,,,EEE G581,EEE G581
LAB,,,,DE G631,DE G631,,DE G611,DE G611,CE G537,
WS,,ME F112,ME F112,ME F315,ME F315,INSTR F211,INSTR F211,,,
